-4.8931589, +74.6727398, +0.0730708
-16.8673680, +58.1660239, -0.2635157
-13.5166432, +53.5566297, -0.3675991
-18.8650045, +53.1773967, -0.2448735
-9.8719985, +40.7909457, -0.4545489
-3.4058402, +36.0417418, -0.5165184
-11.0899034, +34.3071971, -0.4171548
-18.0299449, +31.1329008, -0.3210921
-5.8528479, +28.2608221, -0.4432402
-3.3198117, +23.9338918, -0.4292033
-13.7509163, +22.6032145, -0.3618874
-6.6042972, +15.9159666, -0.2003512
-9.6542266, +5.5155106, -0.1083996
-14.6119079, +4.1387515, -0.1066753
-10.4046689, -6.7329387, -0.0648850
-9.7935145, -13.9961955, +0.0118334
-6.4866420, -22.0158153, -0.0484859
-18.1361998, -22.4054815, +0.0012635
-13.9960346, -29.5033530, -0.0559229
-9.3584795, -35.9477861, +0.0042465
-8.1891065, -44.3708839, +0.1490475
-3.6067359, -46.7552940, +0.1107234
-10.1885119, -51.9265779, +0.2730346
-8.3113543, -56.6018384, +0.2105484
-3.8462357, -80.4205965, -0.0265280
-11.4427488, -86.5115680, -0.0199358
-15.2683405, -99.5768369, +0.1035234
-35.2075221, +100.2556462, -0.3206444
-21.9898088, +82.3135608, +0.4115376
-36.3797730, +74.8158875, +0.4259880
-19.8693932, +65.3981487, +0.0393786
-34.6767156, +52.7763291, +0.0903157
-20.1922260, +43.5094671, -0.2309228
-28.9945397, +34.9960110, +0.1213402
-34.3637853, +31.2740571, +0.3338441
-29.3374703, +26.7879885, +0.0956341
-37.0114008, +19.5558746, +0.2482699
-24.8857488, +16.2247956, -0.1752334
-23.6972446, +7.6283598, -0.1789044
-36.4788192, +6.0279793, +0.2637003
-19.4455190, +4.0768266, -0.2531800
-30.8282463, +3.2603369, +0.0594935
-27.7266996, -4.9131226, +0.0099175
-31.2582727, -9.3956589, +0.1815830
-19.3514832, -14.8209862, +0.0030943
-28.8853506, -16.3221639, +0.1845368
-35.0119015, -23.7400996, +0.1499716
-21.8808799, -26.0626846, +0.1300017
-26.4831360, -41.1787315, +0.1866606
-31.8057472, -41.4629430, +0.1782274
-18.9590773, -42.7008724, +0.1364805
-661.8697248, +576.2502981, -0.2109503
+147.3296332, +99.9608778, -0.2755988
+314.9650020, +644.9776204, -1.1402248
-539.7133627, +571.6864101, -0.1318479
+123.7535988, +646.7221657, -0.6948949
-173.1637845, +685.4569886, -0.9984034
+353.4590990, +542.8454868, -0.6799247
-779.1805804, +28.2634609, -3.0399372
-53.3529807, +89.5378469, -0.2116666
-44.3966706, +84.8089477, -0.0927531
-59.8869393, +81.2728699, +0.0068343
-43.3562062, +63.9114070, +0.2984530
-55.1080690, +61.2883713, +0.4248187
-38.3907937, +59.8633398, +0.2671014
-61.2461226, +53.0411385, +0.4616645
-50.0968986, +50.7563544, +0.3141297
-40.7371509, +47.5698681, +0.1742524
-41.4454448, +39.5983170, +0.2314922
-63.1384617, +34.0766097, +0.4566329
-47.9981647, +27.7769801, +0.3923993
-59.1625328, +20.0631291, +0.4852186
-47.9263281, +15.8435399, +0.3416573
-39.4573621, +11.9557324, +0.2417711
-49.1999566, +7.9305998, +0.4850685
-49.3488153, +2.8228686, +0.4706068
-45.8988069, -2.3692349, +0.4354577
-47.4290677, -12.4398379, +0.2574960
-41.4074337, -18.4684403, +0.2800625
-58.5371100, -19.6042493, +0.1682853
-51.7140403, -24.4913241, +0.1971420
-39.7235184, -25.1941682, +0.2723410
-45.0287144, -36.3073638, +0.1092379
-49.6168034, -39.0420287, +0.0633215
-39.0245028, -42.0859164, +0.1776821
-56.9535477, -43.2633025, +0.1198088
-50.1777651, -55.3027808, +0.1751530
-53.5747878, -69.2244776, +0.0481579
-42.8249145, -70.6130162, -0.0488594
-61.2473554, -77.9003604, +0.1759288
-46.0996423, -85.9723562, +0.2526867
-73.9865270, +75.6362983, +0.3922352
-79.4530902, +58.6304290, +0.7152430
-64.2403206, +57.2130525, +0.5526977
-78.2552564, +44.5841128, +0.6625192
-74.3035054, +38.8473025, +0.5626641
-84.8614488, +36.5473950, +0.5997857
-89.6807694, +28.9468772, +0.5235857
-86.8093986, +19.8782495, +0.5901771
-64.2278391, +16.0301840, +0.4091118
-82.5831506, +7.7337770, +0.4956511
-67.6473163, +5.6700623, +0.2534774
-76.7632206, +1.5917936, +0.3368046
-92.2705717, -2.2920004, +0.6886411
-63.2128377, -4.3512493, +0.2357652
-999.7229320, +554.6041159, -4.8669753
-768.2590642, +379.5150668, -2.5323285
-266.8012246, +260.0192320, +0.3008008
-158.2389766, +496.1100169, -0.0152804
-789.7726800, -202.9062160, -2.6859337
-425.3518819, +121.6385447, +0.4069378
-403.3507422, +532.9852341, -0.5594549
-1111.7649350, +52.8637817, -3.8988820
-81.4495455, -42.6637113, +0.3567734
-75.2070105, -42.9068156, +0.2193837
-81.5376057, -52.7160839, +0.3873351
-68.9523707, -54.4608846, +0.0241590
-71.3620519, -66.5722920, +0.1878778
+87.2731647, +250.3091207, +0.0772104
-76.4874203, +253.8220980, -0.1185715
-211.1299053, +160.3833644, +0.2664329
-265.0940230, +5.7100896, +1.1570252
-217.8258700, -151.1976949, +0.4418055
